Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 10:40:22 CET,"82,4"
7 févr. 2024 10:40:37 CET,"79,4"
7 févr. 2024 10:40:52 CET,"78,6"
7 févr. 2024 10:41:07 CET,"83,1"
7 févr. 2024 10:41:22 CET,"82,0"
7 févr. 2024 10:41:37 CET,"81,0"
7 févr. 2024 10:41:52 CET,"89,9"
7 févr. 2024 10:42:08 CET,"93,9"
7 févr. 2024 10:42:23 CET,"86,2"
7 févr. 2024 10:42:38 CET,"83,6"
7 févr. 2024 10:42:53 CET,"85,1"
7 févr. 2024 10:43:08 CET,"85,9"
7 févr. 2024 10:43:23 CET,"87,5"
7 févr. 2024 10:43:38 CET,"85,5"
7 févr. 2024 10:43:53 CET,"88,6"
7 févr. 2024 10:44:08 CET,"90,1"
7 févr. 2024 10:44:23 CET,"89,2"
7 févr. 2024 10:44:38 CET,"93,3"
7 févr. 2024 10:44:53 CET,"88,5"
7 févr. 2024 10:45:16 CET,"90,8"
7 févr. 2024 10:45:24 CET,"99,6"
7 févr. 2024 10:45:39 CET,"101,3"
7 févr. 2024 10:45:54 CET,"92,2"
7 févr. 2024 10:46:09 CET,"98,7"
7 févr. 2024 10:46:24 CET,"103,2"
7 févr. 2024 10:46:39 CET,"102,7"
7 févr. 2024 10:46:54 CET,"96,0"
7 févr. 2024 10:47:09 CET,"95,0"
7 févr. 2024 10:47:24 CET,"98,8"
7 févr. 2024 10:47:39 CET,"99,7"
7 févr. 2024 10:47:54 CET,"93,1"
7 févr. 2024 10:48:09 CET,"92,1"
7 févr. 2024 10:48:24 CET,"96,5"
7 févr. 2024 10:48:40 CET,"101,5"
7 févr. 2024 10:48:55 CET,"95,9"
7 févr. 2024 10:49:10 CET,"91,3"
7 févr. 2024 10:49:25 CET,"92,6"
7 févr. 2024 10:49:40 CET,"97,6"
7 févr. 2024 10:49:55 CET,"101,5"
7 févr. 2024 10:50:10 CET,"96,1"
7 févr. 2024 10:50:25 CET,"98,7"
7 févr. 2024 10:50:40 CET,"103,5"
7 févr. 2024 10:50:55 CET,"101,8"
7 févr. 2024 10:51:10 CET,"100,2"
7 févr. 2024 10:51:25 CET,"100,7"
7 févr. 2024 10:51:40 CET,"105,5"
7 févr. 2024 10:51:55 CET,"104,1"
7 févr. 2024 10:52:10 CET,"99,1"
7 févr. 2024 10:52:26 CET,"89,4"
7 févr. 2024 10:52:41 CET,"85,1"
7 févr. 2024 10:52:56 CET,"90,3"
7 févr. 2024 10:53:11 CET,"89,2"
7 févr. 2024 10:53:26 CET,"83,7"
7 févr. 2024 10:53:41 CET,"82,9"
7 févr. 2024 10:53:56 CET,"92,5"
7 févr. 2024 10:54:11 CET,"93,8"
7 févr. 2024 10:54:26 CET,"87,1"
7 févr. 2024 10:54:41 CET,"84,7"
7 févr. 2024 10:54:56 CET,"89,6"
7 févr. 2024 10:55:11 CET,"86,1"
7 févr. 2024 10:55:26 CET,"78,5"
7 févr. 2024 10:55:41 CET,"80,0"
7 févr. 2024 10:55:56 CET,"81,3"
7 févr. 2024 10:56:12 CET,"85,4"
7 févr. 2024 10:56:27 CET,"84,8"
7 févr. 2024 10:56:42 CET,"80,0"
7 févr. 2024 10:56:57 CET,"78,2"
7 févr. 2024 10:57:12 CET,"82,8"
7 févr. 2024 10:57:27 CET,"87,9"
7 févr. 2024 10:57:42 CET,"83,2"
7 févr. 2024 10:57:58 CET,"83,5"
7 févr. 2024 10:58:13 CET,"82,3"
7 févr. 2024 10:58:28 CET,"89,5"
7 févr. 2024 10:58:43 CET,"86,7"
7 févr. 2024 10:58:58 CET,"79,9"
7 févr. 2024 10:59:13 CET,"77,5"
7 févr. 2024 10:59:28 CET,"82,0"
7 févr. 2024 10:59:43 CET,"85,9"
7 févr. 2024 10:59:58 CET,"84,1"
7 févr. 2024 11:00:16 CET,"78,8"
7 févr. 2024 11:00:29 CET,"77,8"
7 févr. 2024 11:00:44 CET,"80,9"
7 févr. 2024 11:00:59 CET,"82,7"
7 févr. 2024 11:01:14 CET,"80,0"
7 févr. 2024 11:01:29 CET,"81,9"
7 févr. 2024 11:01:44 CET,"85,8"
