Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 09:56:54 CET,"71652,1"
7 févr. 2024 09:57:09 CET,"71652,3"
7 févr. 2024 09:57:24 CET,"71652,6"
7 févr. 2024 09:57:39 CET,"71652,8"
7 févr. 2024 09:57:54 CET,"71653,0"
7 févr. 2024 09:58:09 CET,"71653,3"
7 févr. 2024 09:58:25 CET,"71653,5"
7 févr. 2024 09:58:40 CET,"71653,8"
7 févr. 2024 09:58:55 CET,"71654,0"
7 févr. 2024 09:59:10 CET,"71654,3"
7 févr. 2024 09:59:25 CET,"71654,5"
7 févr. 2024 09:59:40 CET,"71654,8"
7 févr. 2024 09:59:55 CET,"71655,0"
7 févr. 2024 10:00:17 CET,"71655,3"
7 févr. 2024 10:00:25 CET,"71655,5"
7 févr. 2024 10:00:40 CET,"71655,7"
7 févr. 2024 10:00:55 CET,"71655,9"
7 févr. 2024 10:01:10 CET,"71656,2"
7 févr. 2024 10:01:26 CET,"71656,4"
7 févr. 2024 10:01:41 CET,"71656,6"
7 févr. 2024 10:01:56 CET,"71656,8"
7 févr. 2024 10:02:11 CET,"71657,1"
7 févr. 2024 10:02:26 CET,"71657,3"
7 févr. 2024 10:02:41 CET,"71657,5"
7 févr. 2024 10:02:56 CET,"71657,7"
7 févr. 2024 10:03:11 CET,"71658,0"
7 févr. 2024 10:03:26 CET,"71658,2"
7 févr. 2024 10:03:41 CET,"71658,4"
7 févr. 2024 10:03:56 CET,"71658,7"
7 févr. 2024 10:04:11 CET,"71658,9"
7 févr. 2024 10:04:26 CET,"71659,1"
7 févr. 2024 10:04:42 CET,"71659,3"
7 févr. 2024 10:04:57 CET,"71659,5"
7 févr. 2024 10:05:12 CET,"71659,8"
7 févr. 2024 10:05:27 CET,"71660,0"
7 févr. 2024 10:05:42 CET,"71660,2"
7 févr. 2024 10:05:57 CET,"71660,5"
7 févr. 2024 10:06:12 CET,"71660,7"
7 févr. 2024 10:06:27 CET,"71661,0"
7 févr. 2024 10:06:42 CET,"71661,2"
7 févr. 2024 10:06:57 CET,"71661,4"
7 févr. 2024 10:07:12 CET,"71661,6"
7 févr. 2024 10:07:27 CET,"71661,9"
7 févr. 2024 10:07:42 CET,"71662,1"
7 févr. 2024 10:07:58 CET,"71662,3"
7 févr. 2024 10:08:13 CET,"71662,5"
7 févr. 2024 10:08:28 CET,"71662,7"
7 févr. 2024 10:08:43 CET,"71663,0"
7 févr. 2024 10:08:58 CET,"71663,2"
